u,v,dep,dur,vid
2,4,2,4,3
6,5,19,10,1
5,6,2,7,1
3,1,5,10,3
3,6,44,1,3
3,2,32,2,3
8,3,28,10,1
9,1,57,5,2
4,6,21,9,3
7,4,41,8,2
10,9,35,1,2
7,2,23,10,2
2,1,2,10,3
9,10,7,10,2
1,10,49,2,2
5,2,57,8,1
1,6,34,7,2
8,10,43,6,1
4,10,2,1,3
7,9,36,6,2
6,5,22,6,1
10,3,53,5,2
5,3,9,4,1
9,1,28,1,2
10,2,0,8,2
10,3,23,5,2
5,2,36,9,1
7,9,22,10,2
2,4,0,7,3
1,4,3,7,2
4,5,14,9,3
5,9,54,9,1
1,9,37,2,2
4,2,26,7,3
6,4,45,1,1
7,2,35,6,2
8,10,10,1,1
1,10,59,2,2
9,3,36,10,2
6,4,23,4,1
9,10,19,8,2
5,8,60,8,1
8,2,5,7,1
1,5,14,4,2
1,9,16,3,2
4,6,30,10,3
8,9,56,8,1
2,5,33,7,3
5,3,48,2,1
9,4,4,10,2
5,1,7,1,1
5,4,56,6,1
9,2,29,4,2
2,5,19,10,3
2,5,32,1,3
10,5,8,4,2
1,9,4,10,2
6,7,26,7,1
8,9,27,10,1
9,1,22,5,2
1,2,49,7,2
5,6,50,9,1
6,2,18,1,1
7,2,52,3,2
4,2,46,7,3
8,3,46,9,1
7,4,30,4,2
10,9,7,4,2
4,10,56,6,3
2,3,27,1,3
6,2,13,10,1
6,2,50,6,1
8,6,39,7,1
1,6,12,5,2
8,10,55,1,1
8,2,27,1,1
9,2,3,10,2
1,6,31,1,2
10,1,58,3,2
3,1,19,8,3
5,6,9,6,1
2,7,46,5,3
2,10,14,10,3
3,1,29,9,3
10,7,50,9,2
2,5,50,6,3
2,8,31,6,3
2,3,32,7,3
1,2,5,7,2
3,5,9,5,3
5,10,1,6,1
3,7,22,4,3
6,1,23,2,1
6,9,14,9,1
2,8,38,8,3
4,3,44,6,3
2,1,9,3,3
9,2,14,1,2
2,1,52,1,3
6,3,1,7,1
1,7,7,9,2
6,8,40,7,1
9,4,40,1,2
4,10,41,2,3
9,7,33,1,2
2,9,29,2,3
9,1,39,6,2
2,6,23,3,3
4,8,16,3,3
6,2,2,7,1
1,6,44,7,2
3,6,53,5,3
2,7,40,3,3
10,9,12,6,2
9,6,25,3,2
2,3,60,2,3
10,6,18,10,2
1,10,12,5,2
3,9,31,2,3
4,7,27,5,3
2,9,38,8,3
8,2,49,9,1
1,9,32,7,2
6,2,42,9,1
1,10,20,1,2
7,6,31,1,2
10,7,8,3,2
6,7,57,7,1
4,2,13,7,3
8,3,12,5,1
2,4,16,5,3
9,7,16,9,2
10,7,39,3,2
4,7,4,8,3
3,7,30,9,3
2,6,59,2,3
7,3,12,3,2
2,3,10,1,3
6,7,1,8,1
8,9,47,1,1
6,8,1,7,1
7,6,53,8,2
2,4,38,4,3
10,3,48,5,2
2,9,17,8,3
3,4,18,8,3
9,1,27,3,2
1,2,40,1,2
3,4,20,4,3
3,5,57,7,3
8,3,44,9,1
8,5,58,7,1
6,5,40,10,1
7,1,39,4,2
1,9,1,9,2
10,7,34,8,2
10,3,54,3,2
8,7,37,3,1
8,4,29,8,1
3,1,51,9,3
10,2,40,5,2
3,4,52,10,3
6,2,44,4,1
3,10,21,2,3
6,1,11,10,1
1,5,10,9,2
2,7,26,5,3
1,5,38,3,2
1,2,38,9,2
10,4,58,10,2
3,7,49,9,3
2,7,41,8,3
6,2,20,8,1
6,7,25,4,1
9,5,16,6,2
5,7,11,5,1
7,3,38,3,2
10,7,37,4,2
9,4,32,7,2
4,2,1,3,3
1,8,56,4,2
3,2,39,4,3
2,7,55,3,3
8,2,39,5,1
9,3,17,4,2
1,4,39,10,2
2,5,40,8,3
4,5,39,6,3
9,8,52,4,2
6,3,52,5,1
8,5,35,4,1
6,2,26,1,1
1,3,8,1,2
7,5,40,7,2
6,10,47,8,1
4,5,5,7,3
9,3,8,5,2
10,8,4,2,2
2,9,48,5,3
6,9,0,5,1
6,4,12,6,1
8,9,36,2,1
10,6,16,1,2
3,8,34,10,3
7,10,40,5,2
4,6,1,9,3
1,7,53,3,2
9,7,27,8,2
9,6,12,2,2
10,8,24,6,2
1,5,22,1,2
1,5,40,5,2
3,5,11,6,3
2,1,1,4,3
6,8,38,10,1
8,7,19,4,1
10,6,15,10,2
4,6,36,5,3
5,7,57,1,1
4,6,43,10,3
4,5,4,1,3
6,1,5,10,1
2,4,24,5,3
4,9,10,5,3
9,3,8,8,2
2,3,3,1,3
6,7,5,3,1
1,5,1,7,2
9,10,3,9,2
9,6,53,7,2
9,1,15,7,2
5,7,32,2,1
7,5,52,5,2
4,8,56,6,3
5,8,20,5,1
10,8,5,8,2
2,7,5,9,3
6,7,9,6,1
9,2,24,1,2
4,5,8,9,3
10,5,21,5,2
10,2,5,10,2
8,5,13,10,1
9,5,0,7,2
9,1,22,3,2
7,6,54,4,2
8,7,2,2,1
7,5,6,10,2
1,4,55,6,2
1,7,38,5,2
7,2,60,9,2
8,7,28,5,1
4,3,0,10,3
4,7,26,9,3
3,7,11,5,3
6,2,13,3,1
8,1,15,7,1
8,10,49,10,1
6,4,30,8,1
7,10,38,3,2
10,1,23,4,2
8,7,36,5,1
4,2,3,1,3
8,3,20,8,1
2,4,15,6,3
4,1,58,7,3
8,5,9,1,1
3,10,54,3,3
5,2,16,8,1
5,4,18,4,1
4,7,7,6,3
7,6,53,7,2
5,9,41,7,1
9,8,38,5,2
2,5,23,7,3
10,6,56,9,2
9,1,58,8,2
1,2,60,5,2
8,3,14,8,1
1,4,4,8,2
2,6,25,8,3
9,3,39,4,2
3,9,57,5,3
8,5,38,10,1
6,10,43,3,1
9,10,29,5,2
4,1,48,7,3
2,8,58,9,3
7,1,8,10,2
5,4,23,3,1
2,6,50,5,3
7,8,28,5,2
5,6,60,7,1
6,5,54,5,1
5,7,59,8,1
5,3,18,10,1
4,9,53,2,3
9,5,24,2,2
2,9,39,6,3
10,5,2,8,2
7,4,17,9,2
4,6,10,3,3
1,3,49,10,2
8,9,14,4,1
3,5,17,2,3
1,8,34,7,2
5,7,12,4,1
3,9,42,8,3
3,1,37,8,3
7,5,43,10,2
6,9,5,2,1
6,7,18,9,1
2,9,10,1,3
8,2,52,4,1
5,3,44,7,1
10,3,30,2,2
10,5,22,4,2
9,5,40,9,2
3,6,27,7,3
3,6,40,8,3
6,3,52,10,1
4,7,55,5,3
9,8,45,2,2
6,8,58,7,1
9,8,26,1,2
6,10,32,1,1
5,7,41,2,1
5,4,49,7,1
9,3,40,5,2
10,1,46,6,2
1,7,38,2,2
4,5,1,4,3
3,10,12,10,3
1,10,9,6,2
3,2,46,2,3
5,7,55,9,1
4,3,36,10,3
4,3,11,3,3
9,10,20,5,2
2,4,13,6,3
9,3,11,1,2
9,2,57,2,2
9,2,23,3,2
4,1,10,7,3
5,2,60,10,1
6,2,3,9,1
4,9,58,5,3
9,10,17,3,2
5,3,11,5,1
7,6,26,8,2
6,4,54,3,1
2,7,8,6,3
10,5,57,1,2
10,7,43,7,2
6,8,26,7,1
8,2,58,10,1
3,8,2,7,3
5,2,45,10,1
8,5,13,3,1
6,8,53,2,1
5,8,31,3,1
2,4,4,2,3
5,1,31,1,1
8,10,48,10,1
2,9,55,9,3
2,6,57,8,3
5,10,9,2,1
5,10,55,7,1
10,4,47,6,2
9,10,48,8,2
5,9,31,2,1
7,9,37,8,2
1,10,1,7,2
9,2,1,1,2
9,10,43,3,2
3,9,59,6,3
7,9,45,4,2
9,6,14,6,2
8,5,31,5,1
2,9,26,3,3
7,4,28,8,2
10,7,17,4,2
2,3,20,1,3
9,1,27,4,2
4,7,25,4,3
2,4,58,9,3
10,2,44,7,2
4,3,33,4,3
10,9,36,7,2
7,2,45,8,2
8,9,17,7,1
10,6,2,3,2
3,4,32,6,3
10,4,30,1,2
6,5,5,7,1
9,4,33,7,2
6,7,57,10,1
9,10,17,5,2
9,6,15,2,2
4,8,58,5,3
9,2,32,4,2
5,10,9,10,1
5,4,47,9,1
10,4,39,10,2
8,7,23,1,1
7,3,17,1,2
9,4,49,3,2
9,2,25,6,2
2,1,34,8,3
5,8,13,8,1
2,8,39,5,3
9,2,58,9,2
5,9,29,1,1
2,6,30,8,3
5,1,60,4,1
10,5,11,3,2
6,10,4,2,1
3,4,19,6,3
5,1,43,7,1
1,10,50,9,2
8,3,9,3,1
9,3,41,3,2
8,6,33,10,1
1,2,23,3,2
10,5,20,2,2
3,8,28,8,3
3,10,24,10,3
9,1,27,9,2
1,6,38,5,2
3,4,4,3,3
7,8,28,7,2
10,5,36,3,2
9,3,31,8,2
10,3,60,2,2
4,6,56,6,3
10,9,45,4,2
7,4,44,2,2
